道路编号,设备编号,设备名称,部门编码,部门名称,坐标,启用时间,x坐标,y坐标
6.00312E+11,4.205E+19,高新-大连路汕头路口南向北,4.205E+11,宜昌支队高新区大队,"111.33272,30.70787",2020/4/15,111.33272,30.70787
6.00312E+11,4.205E+19,高新-大连路汕头路口南向北卡口,4.205E+11,宜昌支队高新区大队,"111.33273,30.70791",2020/4/15,111.33273,30.70791
6.00312E+11,4.205E+19,高新-大连路汕头路口西向东,4.205E+11,宜昌支队高新区大队,"111.33266,30.70825",2020/4/15,111.33266,30.70825
6.00312E+11,4.205E+19,高新-大连路汕头路口东向西卡口,4.205E+11,宜昌支队高新区大队,"111.33307,30.70797",2020/4/15,111.33307,30.70797
6.00072E+11,4.20502E+19,西陵-体育场路绿萝路口西向东卡口,4.20502E+11,宜昌支队西陵大队,"111.30211,30.70624",2020/4/16,111.30211,30.70624
6.00341E+11,4.20502E+19,西陵-东山四路锦江大道口东向西卡口,4.20502E+11,宜昌支队西陵大队,"111.33272,30.73896",2020/4/23,111.33272,30.73896
6.00032E+11,4.20502E+19,西陵-东山大道果园二路站西向东卡口,4.20502E+11,宜昌支队西陵大队,"111.29877,30.69596",2019/1/1,111.29877,30.69596
6.00341E+11,4.20502E+19,西陵-东山四路锦江大道口西向东,4.20502E+11,宜昌支队西陵大队,"111.33241,30.73923",2020/4/23,111.33241,30.73923
6.00341E+11,4.20502E+19,西陵-东山四路锦江大道口西向东卡口,4.20502E+11,宜昌支队西陵大队,"111.33236,30.7393",2020/4/23,111.33236,30.7393
6.00012E+11,4.20502E+19,西陵-沿江大道环城南路口东向西卡口,4.20502E+11,宜昌支队西陵大队,"111.28176,30.6952",2020/4/9,111.28176,30.6952
6.00132E+11,4.20503E+19,伍家-伍临路沈家店路东向西卡口,4.20503E+11,宜昌支队伍家大队,"111.36239,30.63749",2020/4/24,111.36239,30.63749
6.00312E+11,4.205E+19,高新-大连路汕头路口北向南,4.205E+11,宜昌支队高新区大队,"111.33302,30.70833",2020/4/15,111.33302,30.70833
6.00312E+11,4.205E+19,高新-大连路汕头路口北向南卡口,4.205E+11,宜昌支队高新区大队,"111.33309,30.70843",2020/4/15,111.33309,30.70843
6.00312E+11,4.205E+19,高新-大连路汕头路口西向东卡口,4.205E+11,宜昌支队高新区大队,"111.33261,30.70829",2020/4/15,111.33261,30.70829
6.00312E+11,4.205E+19,高新-大连路汕头路口东向西,4.205E+11,宜昌支队高新区大队,"111.33301,30.70798",2020/4/15,111.33301,30.70798
6.00341E+11,4.20503E+19,西陵-东山四路桔颂路口北向南卡口,4.20502E+11,宜昌支队西陵大队,"111.32566,30.75519",2020/5/18,111.32566,30.75519
6.00341E+11,4.20503E+19,西陵-东山四路桔颂路口南向北卡口,4.20502E+11,宜昌支队西陵大队,"111.32437,30.75462",2020/5/18,111.32437,30.75462
6.00341E+11,4.20503E+19,西陵-东山四路桔颂路口东向西卡口,4.20502E+11,宜昌支队西陵大队,"111.32576,30.75427",2020/5/18,111.32576,30.75427
6.00341E+11,4.20503E+19,西陵-东山四路桔颂路口西向东卡口,4.20502E+11,宜昌支队西陵大队,"111.32489,30.75601",2020/5/18,111.32489,30.75601
6.05032E+11,4.20505E+19,V亭-金岭路民主路口东向西卡口,4.20505E+11,宜昌支队V亭大队,"111.42707,30.53739",2020/5/21,111.42707,30.53739
6.05032E+11,4.20505E+19,V亭-金岭路民主路口西向东卡口,4.20505E+11,宜昌支队V亭大队,"111.42666,30.53806",2020/5/21,111.42666,30.53806
6.00022E+11,4.20502E+19,西陵-夷陵大道西陵二路口南向北卡口,4.20502E+11,宜昌支队西陵大队,"111.29138,30.70866",2020/4/8,111.29138,30.70866
600012048000,4.20502E+19,西陵-沿江大道西陵二路口东向西卡口,4.20502E+11,宜昌支队西陵大队,"111.28034,30.71141",2020/4/8,111.28034,30.71141
6.00132E+11,4.20503E+19,伍家-伍临路柏临路口东向西,4.20503E+11,宜昌支队伍家大队,"111.36713,30.63118",2020/4/23,111.36713,30.63118
6.00132E+11,4.20503E+19,伍家-伍临路柏临路口南向北,4.20503E+11,宜昌支队伍家大队,"111.36657,30.63123",2020/4/23,111.36657,30.63123
6.00012E+11,4.20503E+19,平湖-沿江大道石子岭路口北向南,4.20502E+11,宜昌支队平湖大队,"111.28943,30.72615",2020/5/15,111.28943,30.72615
6.00012E+11,4.20503E+19,平湖-石子岭路长虹路口南向北,4.20502E+11,宜昌支队平湖大队,"111.29092,30.72545",2020/5/15,111.29092,30.72545
7.00241E+11,4.205E+19,高新-桔乡路东站路口西向东(未接入),4.205E+11,宜昌支队高新区大队,"111.38405,30.67149",2020/4/7,111.38405,30.67149
6.00012E+11,4.20502E+19,西陵-沿江大道西陵二路口北向南卡口,4.20502E+11,宜昌支队西陵大队,"111.28052,30.71129",2020/4/7,111.28052,30.71129
6.00012E+11,4.20502E+19,西陵-沿江大道西陵二路口西向东卡口,4.20502E+11,宜昌支队西陵大队,"111.28029,30.71152",2020/4/7,111.28029,30.71152
6.00012E+11,4.20503E+19,平湖-沿江大道石子岭路口东向西,f40e813ad9364cf891bb595f7fbe6c7d,测试,"111.2893,30.72596",2020/5/25,111.2893,30.72596
6.00132E+11,4.20503E+19,伍家-伍临路柏临路口西向东,4.20503E+11,宜昌支队伍家大队,"111.36665,30.63165",2020/4/23,111.36665,30.63165
600042017000,4.20503E+19,伍家-城东大道中南路口东向西,4.20503E+11,宜昌支队伍家大队,"111.33116,30.67718",2018/12/1,111.33116,30.67718
6.00042E+11,4.20503E+19,伍家-城东大道东艳路口东向西,4.20503E+11,宜昌支队伍家大队,"111.35422,30.66449",2018/12/1,111.35422,30.66449
6.00042E+11,4.20503E+19,伍家-城东大道东艳路口西向东,4.20503E+11,宜昌支队伍家大队,"111.35422,30.66449",2018/12/1,111.35422,30.66449
6.00042E+11,4.20503E+19,伍家-城东大道东站路口东向西,4.20503E+11,宜昌支队伍家大队,"111.37834,30.65551",2018/12/1,111.37834,30.65551
6.00042E+11,4.20503E+19,伍家-城东大道合益路口东向西,4.20503E+11,宜昌支队伍家大队,"111.34455,30.67114",2018/12/1,111.34455,30.67114
6.00042E+11,4.20503E+19,伍家-城东大道合益路口西向东,4.20503E+11,宜昌支队伍家大队,"111.34455,30.67114",2018/12/1,111.34455,30.67114
6.00042E+11,4.20503E+19,伍家-城东大道桔城路口西向东,4.20503E+11,宜昌支队伍家大队,"111.36912,30.65669",2015/7/27,111.36912,30.65669
6.00042E+11,4.20503E+19,伍家-城东大道同强路口东向西,4.20503E+11,宜昌支队伍家大队,"111.37257,30.65619",2018/12/1,111.37257,30.65619
6.00042E+11,4.20503E+19,伍家-城东大道同强路口西向东,4.20503E+11,宜昌支队伍家大队,"111.37257,30.65619",2018/12/1,111.37257,30.65619
6.00042E+11,4.20503E+19,伍家-城东大道中南路口东向西卡口,4.20503E+11,宜昌支队伍家大队,"111.33116,30.67718",2018/12/1,111.33116,30.67718
6.00042E+11,4.20503E+19,伍家-城东大道中南路口西向东卡口,4.20503E+11,宜昌支队伍家大队,"111.33116,30.67718",2018/12/1,111.33116,30.67718
6.00042E+11,4.20503E+19,伍家-城东大道东艳路口东向西卡口,4.20503E+11,宜昌支队伍家大队,"111.35422,30.66449",2018/12/1,111.35422,30.66449
6.00042E+11,4.20503E+19,伍家-城东大道中南路口南向北卡口,4.20503E+11,宜昌支队伍家大队,"111.3316,30.67734",2018/12/1,111.3316,30.67734
6.00042E+11,4.20503E+19,伍家-城东大道中南路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.3316,30.67734",2018/12/1,111.3316,30.67734
6.00022E+11,4.20503E+19,伍家-夷陵大道白沙路口南向北卡口,4.20503E+11,宜昌支队伍家大队,"111.35642,30.64427",2018/12/1,111.35642,30.64427
6.00042E+11,4.20503E+19,伍家-城东大道合益路口南向北卡口,4.20503E+11,宜昌支队伍家大队,"111.3446,30.671",2018/12/1,111.3446,30.671
6.00042E+11,4.20503E+19,伍家-城东大道合益路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.3446,30.671",2018/12/1,111.3446,30.671
6.00042E+11,4.20503E+19,伍家-城东大道东站路口北向南卡口,4.20503E+11,宜昌支队伍家大队,"111.37179,30.657772",2018/12/1,111.37179,30.657772
6.00042E+11,4.20503E+19,伍家-城东大道安琪卡口(测速)西向东,4.20503E+11,宜昌支队伍家大队,"111.34885,30.66876",2014/3/14,111.34885,30.66876
6.04012E+11,4.20504E+19,点军-江南大道五龙路口东向西,4.20504E+11,宜昌支队点军大队,"111.28452,30.67453",2016/9/21,111.28452,30.67453
5.00031E+11,4.20504E+19,点军-点军大道江南大道口东向西,4.20504E+11,宜昌支队点军大队,"111.25923,30.7139",2017/1/9,111.25923,30.7139
6.04012E+11,4.20504E+19,点军-江南大道五龙路口南向北,4.20504E+11,宜昌支队点军大队,"111.28452,30.67453",2016/9/21,111.28452,30.67453
5.00031E+11,4.20504E+19,点军-点军大道江南大道口南向北,4.20504E+11,宜昌支队点军大队,"111.25892,30.71359",2017/1/9,111.25892,30.71359
5.00031E+11,4.20504E+19,点军-点军大道辅道老年大学路段南向北,4.20504E+11,宜昌支队点军大队,"111.24323,30.71298",2019/8/1,111.24323,30.71298
5.12346E+11,4.20504E+19,点军-点军大道江城大道桥下南向北卡口,4.20504E+11,宜昌支队点军大队,"111.25187,30.7132",2017/5/1,111.25187,30.7132
5.12346E+11,4.20504E+19,西陵-至喜长江大桥沿江上桥卡口东向西,4.20502E+11,宜昌支队西陵大队,"111.27975,30.71028",2016/1/1,111.27975,30.71028
5.12346E+11,4.20504E+19,西陵-西陵二路快速路科技高中卡口北向南,4.20502E+11,宜昌支队西陵大队,"111.28327,30.71016",2016/1/1,111.28327,30.71016
6.0401E+11,4.20504E+19,点军-五龙大道法院路口南向北卡口,4.20504E+11,宜昌支队点军大队,"111.2794,30.6727",2019/12/25,111.2794,30.6727
6.0401E+11,4.20504E+19,点军-紫阳大道三岔路口西向东卡口,4.20504E+11,宜昌支队点军大队,"111.26662,30.73763",2019/12/25,111.26662,30.73763
6.00012E+11,4.20502E+19,西陵-沿江大道环城南路口北向南卡口,4.20502E+11,宜昌支队西陵大队,"111.29826,30.69716",2020/4/9,111.29826,30.69716
6.0401E+11,4.20504E+19,点军-江南大道和达利厂东向西卡口,4.20504E+11,宜昌支队点军大队,"111.25866,30.70894",2017/1/1,111.25866,30.70894
6.04202E+11,4.20504E+19,点军-艾家卡口东向西,4.20504E+11,宜昌支队点军大队,"111.35075,30.62207",2019/12/25,111.35075,30.62207
6.04202E+11,4.20504E+19,点军-艾家卡口西向东,4.20504E+11,宜昌支队点军大队,"111.35075,30.62207",2019/12/25,111.35075,30.62207
6.04052E+11,4.20504E+19,点军-五龙大道(测速)南向北卡口,4.20504E+11,宜昌支队点军大队,"111.26349,30.67204",2016/3/14,111.26349,30.67204
6.04022E+11,4.20504E+19,点军-夷陵长江大桥(测速)南向北卡口,4.20504E+11,宜昌支队点军大队,"111.29725,30.68396",2019/12/25,111.29725,30.68396
6.04022E+11,4.20504E+19,点军-夷陵长江大桥(测速)北向南卡口,4.20504E+11,宜昌支队点军大队,"111.29391,30.68029",2019/12/25,111.29391,30.68029
6.04022E+11,4.20504E+19,点军-夷桥路磁电子厂(测速)北向南卡口,4.20504E+11,宜昌支队点军大队,"111.2761,30.66431",2019/12/25,111.2761,30.66431
6.04012E+11,4.20504E+19,点军-江南大道消防中队(测速)东向西,4.20504E+11,宜昌支队点军大队,"111.27234,30.68439",2014/3/21,111.27234,30.68439
6.04012E+11,4.20504E+19,点军-江南大道消防中队(测速)西向东,4.20504E+11,宜昌支队点军大队,"111.27234,30.68439",2014/3/21,111.27234,30.68439
6.05042E+11,4.20505E+19,V亭-V亭大道正大路口东向西,4.20505E+11,宜昌支队V亭大队,"111.44019,30.53261",2015/7/27,111.44019,30.53261
6.05042E+11,4.20505E+19,V亭-V亭大道正大路口西向东,4.20505E+11,宜昌支队V亭大队,"111.43995,30.53304",2015/7/27,111.43995,30.53304
6.05112E+11,4.20505E+19,V亭-V亭大道先锋路口西向东,4.20505E+11,宜昌支队V亭大队,"111.4282,30.54588",2014/3/14,111.4282,30.54588
6.05102E+11,4.20505E+19,V亭-金V路金岭路口东向西,4.20505E+11,宜昌支队V亭大队,"111.42906,30.53369",2019/1/1,111.42906,30.53369
6.05042E+11,4.20505E+19,V亭-V亭大道横四路口东向西,4.20505E+11,宜昌支队V亭大队,"111.42258,30.54959",2017/3/23,111.42258,30.54959
6.05042E+11,4.20505E+19,V亭-V亭大道横四路口西向东,4.20505E+11,宜昌支队V亭大队,"111.42193,30.54998",2017/3/23,111.42193,30.54998
6.05042E+11,4.20505E+19,V亭-V亭大道民主路口东向西,4.20505E+11,宜昌支队V亭大队,"111.43242,30.5431",2016/10/20,111.43242,30.5431
6.90366E+11,4.20505E+19,V亭-张家湾路七里冲路口东向西,4.20505E+11,宜昌支队V亭大队,"111.4605,30.55675",2017/4/14,111.4605,30.55675
6.90366E+11,4.20505E+19,V亭-张家湾路七里冲路口西向东,4.20505E+11,宜昌支队V亭大队,"111.46024,30.55705",2017/4/14,111.46024,30.55705
6.00402E+11,4.20502E+19,平湖-夜明珠路常刘路口南向北,4.20502E+11,宜昌支队平湖大队,"111.29831,30.72619",2018/1/1,111.29831,30.72619
7.00392E+11,4.205E+19,高新-汉宜路茶厂一路口东向西,4.205E+11,宜昌支队高新区大队,"111.42884,30.66332",2019/11/22,111.42884,30.66332
7.00392E+11,4.205E+19,高新-汉宜路土门路口南向北,4.205E+11,宜昌支队高新区大队,"111.43535,30.66703",2019/11/25,111.43535,30.66703
7.00392E+11,4.205E+19,高新-汉宜路茶厂一路口西向东,4.205E+11,宜昌支队高新区大队,"111.42859,30.66312",2019/11/22,111.42859,30.66312
6.00232E+11,4.205E+19,高新-发展大道石板铺路口南向北卡口,4.205E+11,宜昌支队高新区大队,"111.34842,30.7396",2019/11/25,111.34842,30.7396
6.00232E+11,4.205E+19,高新-发展大道石板铺路口西向东卡口,4.205E+11,宜昌支队高新区大队,"111.34813,30.73995",2019/11/25,111.34813,30.73995
6.05042E+11,4.20505E+19,V亭-V亭大道金V路口东向西,4.20505E+11,宜昌支队V亭大队,"111.43822,30.53694",2019/12/5,111.43822,30.53694
6.05042E+11,4.20505E+19,V亭-V亭大道正大路口南向北卡口,4.20505E+11,宜昌支队V亭大队,"111.43967,30.53256",2019/12/5,111.43967,30.53256
6.05042E+11,4.20505E+19,V亭-V亭大道金V路口北向南,4.20505E+11,宜昌支队V亭大队,"111.43827,30.53778",2019/12/5,111.43827,30.53778
7.05112E+11,4.20505E+19,V亭-长寿路七里冲路口东向西,4.20505E+11,宜昌支队V亭大队,"30.334299,111.273089",2019/11/28,30.334299,111.273089
3.00041E+11,4.205E+19,高速-G59呼北高速1406KM+155M北向南,4.205E+11,宜昌支队高速公路管理一大队,"111.60998,30.98986",2019/12/5,111.60998,30.98986
7.05112E+11,4.20505E+19,V亭-长寿路迎宾大道路口北向南,4.20505E+11,宜昌支队V亭大队,"30.324646,111.281382",2019/11/28,30.324646,111.281382
7.05112E+11,4.20505E+19,V亭-长寿路迎宾大道路口西向东,4.20505E+11,宜昌支队V亭大队,"30.324737,111.281144",2019/11/28,30.324737,111.281144
3.00041E+11,4.205E+19,高速-G59呼北高速1386KM+150M北向南,4.205E+11,宜昌支队高速公路管理一大队,"111.55994,31.165",2019/12/5,111.55994,31.165
6.04061E+11,4.20504E+19,点军-夷陵长江大桥点军服务站路段南向北,4.20504E+11,宜昌支队点军大队,"111.284794,30.678373",2019/9/1,111.284794,30.678373
6.00402E+11,4.20502E+19,平湖-夜明珠路黄河路口北向南,4.20502E+11,宜昌支队平湖大队,"111.30523,30.73033",2017/12/1,111.30523,30.73033
6.05112E+11,4.20505E+19,V亭-V亭大道先锋路口东向西卡口,4.20505E+11,宜昌支队V亭大队,"111.42912,30.54533",2015/7/27,111.42912,30.54533
6.00402E+11,4.20502E+19,平湖-夜明珠路常刘路口东向西,4.20502E+11,宜昌支队平湖大队,"111.29854,30.72611",2018/1/1,111.29854,30.72611
6.00902E+11,4.205E+19,白洋-新民路裴太路口北向南,4.205E+11,宜昌支队高新区大队,"111.52903,30.42423",2016/4/12,111.52903,30.42423
7.00392E+11,4.205E+19,高新-汉宜路土门路口东向西,4.205E+11,宜昌支队高新区大队,"111.43548,30.66739",2019/11/22,111.43548,30.66739
6.00139E+11,4.20503E+19,伍家-伍临路临江溪桥进城东向西,4.20503E+11,宜昌支队伍家大队,"111.3702,30.62642",2019/8/1,111.3702,30.62642
6.00139E+11,4.20503E+19,伍家-伍临路临江溪桥出城西向东,4.20503E+11,宜昌支队伍家大队,"111.3702,30.62642",2019/8/1,111.3702,30.62642
6.05042E+11,4.20505E+19,V亭-V亭大道金V路口西向东卡口,4.20505E+11,宜昌支队V亭大队,"111.43742,30.53815",2019/12/5,111.43742,30.53815
7.00392E+11,4.205E+19,高新-汉宜路土门路口北向南,4.205E+11,宜昌支队高新区大队,"111.43522,30.66739",2019/11/25,111.43522,30.66739
7.05112E+11,4.20505E+19,V亭-长寿路迎宾大道路口北向南卡口,4.20505E+11,宜昌支队V亭大队,"30.324646,111.281382",2019/12/4,30.324646,111.281382
6.05042E+11,4.20505E+19,V亭-V亭大道金V路口东向西卡口,4.20505E+11,宜昌支队V亭大队,"111.43826,30.53682",2019/12/5,111.43826,30.53682
6.05042E+11,4.20505E+19,V亭-V亭大道金V路口南向北,4.20505E+11,宜昌支队V亭大队,"111.4373,30.53718",2019/12/5,111.4373,30.53718
6.00012E+11,4.20502E+19,西陵-沿江大道环城南路口西向东卡口,4.20502E+11,宜昌支队西陵大队,"111.28146,30.69536",2020/4/9,111.28146,30.69536
5.00031E+11,4.20504E+19,点军-点军大道江城大道口东向西,4.20504E+11,宜昌支队点军大队,"111.2491,30.7128",2019/12/1,111.2491,30.7128
7.05112E+11,4.20505E+19,V亭-长寿路迎宾大道路口南向北卡口,4.20505E+11,宜昌支队V亭大队,"30.324478,111.281133",2019/12/4,30.324478,111.281133
6.00402E+11,4.20502E+19,平湖-夜明珠路常刘路口北向南,4.20502E+11,宜昌支队平湖大队,"111.29941,30.72674",2018/1/1,111.29941,30.72674
7.00062E+11,4.20503E+19,伍家-东站路董家冲路口东向西,4.20503E+11,宜昌支队伍家大队,"111.38022,30.65972",2019/12/12,111.38022,30.65972
7.00062E+11,4.20503E+19,伍家-东站路董家冲路口西向东,4.20503E+11,宜昌支队伍家大队,"111.37955,30.65987",2019/12/12,111.37955,30.65987
6.00402E+11,4.20502E+19,平湖-夜明珠路黄河路口南向北,4.20502E+11,宜昌支队平湖大队,"111.30526,30.73008",2018/1/1,111.30526,30.73008
7.00392E+11,4.205E+19,高新-汉宜路土门路口西向东,4.205E+11,宜昌支队高新区大队,"111.4351,30.6672",2019/11/22,111.4351,30.6672
7.00392E+11,4.205E+19,高新-汉宜路茶厂一路口北向南,4.205E+11,宜昌支队高新区大队,"111.4286,30.66334",2019/11/22,111.4286,30.66334
7.00392E+11,4.205E+19,高新-汉宜路茶厂一路口南向北,4.205E+11,宜昌支队高新区大队,"111.42884,30.6631",2019/11/22,111.42884,30.6631
6.00232E+11,4.205E+19,高新-发展大道石板铺路口北向南卡口,4.205E+11,宜昌支队高新区大队,"111.34839,30.74023",2019/11/25,111.34839,30.74023
6.05042E+11,4.20505E+19,V亭-V亭大道金V路口南向北卡口(道路施工),4.20505E+11,宜昌支队V亭大队,"111.43709,30.53707",2019/12/5,111.43709,30.53707
5.00031E+11,4.20504E+19,点军-点军大道江城大道口北向南,4.20504E+11,宜昌支队点军大队,"111.24957,30.71345",2019/12/1,111.24957,30.71345
3.00041E+11,4.205E+19,高速-G59呼北高速1406KM+135M南向北,4.205E+11,宜昌支队高速公路管理一大队,"111.60895,30.99595",2019/12/5,111.60895,30.99595
6.00232E+11,4.205E+19,高新-发展大道汕头路口东向西卡口,4.205E+11,宜昌支队高新区大队,"111.32671,30.71446",2019/12/20,111.32671,30.71446
6.00019E+11,4.20503E+19,伍家-沿江大道中南二号人行横道东向西,4.20503E+11,宜昌支队伍家大队,"111.32502,30.66503",2015/9/29,111.32502,30.66503
6.01043E+11,4.20503E+19,伍家-中南路中南一路口东向西,4.20503E+11,宜昌支队伍家大队,"111.33115,30.67302",2017/1/11,111.33115,30.67302
6.00022E+11,4.20503E+19,伍家-夷陵大道中南路口南向北,4.20503E+11,宜昌支队伍家大队,"111.32583,30.66772",2018/12/1,111.32583,30.66772
6.00022E+11,4.20503E+19,伍家-夷陵大道港窑路口南向北,4.20503E+11,宜昌支队伍家大队,"111.31392,30.6775",2018/12/1,111.31392,30.6775
6.00022E+11,4.20503E+19,伍家-夷陵大道港窑路口北向南,4.20503E+11,宜昌支队伍家大队,"111.31392,30.6775",2018/12/1,111.31392,30.6775
6.00012E+11,4.20503E+19,伍家-沿江大道港窑路口北向南,4.20503E+11,宜昌支队伍家大队,"111.31283,30.67609",2018/12/1,111.31283,30.67609
6.00012E+11,4.20503E+19,伍家-沿江大道中南路口北向南,4.20503E+11,宜昌支队伍家大队,"111.32403,30.66605",2018/12/1,111.32403,30.66605
6.00032E+11,4.20503E+19,伍家-东山大道体育场路口北向南,4.20503E+11,宜昌支队伍家大队,"111.31183,30.68357",2015/7/23,111.31183,30.68357
6.00032E+11,4.20503E+19,伍家-东山大道港窑路口南向北,4.20503E+11,宜昌支队伍家大队,"111.31469,30.68103",2015/7/13,111.31469,30.68103
6.00032E+11,4.20503E+19,伍家-东山大道亚栈路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3174,30.67648",2019/1/1,111.3174,30.67648
6.00032E+11,4.20503E+19,伍家-东山大道杨岔路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3226,30.6724",2015/7/27,111.3226,30.6724
6.00032E+11,4.20503E+19,伍家-东山大道中南路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3266,30.6685",2015/7/27,111.3266,30.6685
6.00032E+11,4.20503E+19,伍家-东山大道中南路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3266,30.6685",2015/7/27,111.3266,30.6685
6.01043E+11,4.20503E+19,伍家-中南路中南一路口南向北,4.20503E+11,宜昌支队伍家大队,"111.33066,30.67299",2017/1/11,111.33066,30.67299
7.00662E+11,4.20502E+19,西陵-西陵一路环城东路口南向北卡口,4.20502E+11,宜昌支队西陵大队,"111.283,30.7025",2020/4/13,111.283,30.7025
6.01043E+11,4.20503E+19,伍家-中南路中南一路口北向南,4.20503E+11,宜昌支队伍家大队,"111.33066,30.67299",2017/1/11,111.33066,30.67299
6.00022E+11,4.20503E+19,伍家-夷陵大道杨岔路口西向东,4.20503E+11,宜昌支队伍家大队,"111.32096,30.67143",2018/12/1,111.32096,30.67143
6.00022E+11,4.20503E+19,伍家-夷陵大道杨岔路口南向北,4.20503E+11,宜昌支队伍家大队,"111.3211,30.6712",2018/12/1,111.3211,30.6712
6.00022E+11,4.20503E+19,伍家-夷陵大道杨岔路口北向南,4.20503E+11,宜昌支队伍家大队,"111.3211,30.6712",2018/12/1,111.3211,30.6712
6.00019E+11,4.20503E+19,伍家-沿江大道虹桥国际卡口西向东,4.20503E+11,宜昌支队伍家大队,"111.33208,30.65832",2017/1/11,111.33208,30.65832
6.00019E+11,4.20503E+19,伍家-沿江大道廊桥水岸卡口东向西,4.20503E+11,宜昌支队伍家大队,"111.31618,30.67359",2017/1/11,111.31618,30.67359
